transaction_id,user_id,product_id,transaction_date,discount_percent,price_after_discount,purchased
T000001,U00568,P0082,2025-06-17 07:57:28.467183,30,141.64,0
T000002,U00443,P0063,2025-07-03 07:57:28.467211,15,373.02,1
T000003,U00601,P0086,2025-06-24 07:57:28.467216,0,255.71,1
T000004,U01161,P0072,2025-06-17 07:57:28.467219,30,280.09,1
T000005,U00504,P0098,2025-04-28 07:57:28.467221,5,167.14,1
T000006,U00131,P0073,2025-05-09 07:57:28.467224,0,11.85,0
T000007,U00218,P0071,2025-06-01 07:57:28.467227,15,239.6,1
T000008,U00688,P0030,2025-06-15 07:57:28.467231,30,98.2,1
T000009,U00171,P0082,2025-05-16 07:57:28.467234,15,171.99,1
T000010,U01499,P0091,2025-06-19 07:57:28.467237,0,58.28,0
T000011,U00612,P0016,2025-05-09 07:57:28.467239,15,281.77,0
T000012,U00992,P0085,2025-04-20 07:57:28.467242,30,161.83,0
T000013,U01153,P0005,2025-05-11 07:57:28.467244,10,288.13,1
T000014,U00057,P0029,2025-05-11 07:57:28.467247,20,59.77,0
T000015,U01205,P0047,2025-05-12 07:57:28.467249,5,115.11,1
T000016,U00246,P0022,2025-06-12 07:57:28.467252,20,373.86,1
T000017,U00144,P0078,2025-05-03 07:57:28.467254,5,124.46,0
T000018,U01075,P0057,2025-05-21 07:57:28.467256,30,191.46,1
T000019,U00368,P0083,2025-06-16 07:57:28.467268,15,129.86,0
T000020,U01483,P0035,2025-04-19 07:57:28.467271,30,213.27,1
T000021,U00218,P0088,2025-05-16 07:57:28.467273,0,229.7,1
T000022,U00616,P0060,2025-05-07 07:57:28.467276,0,212.47,1
T000023,U01919,P0070,2025-06-29 07:57:28.467278,15,109.12,1
T000024,U01591,P0060,2025-04-27 07:57:28.467280,5,201.85,1
T000025,U01281,P0058,2025-06-21 07:57:28.467300,15,72.24,1
T000026,U01882,P0003,2025-04-23 07:57:28.467304,5,24.1,0
T000027,U01180,P0034,2025-05-25 07:57:28.467308,15,267.49,0
T000028,U01589,P0045,2025-05-05 07:57:28.467312,15,199.88,1
T000029,U00442,P0050,2025-04-18 07:57:28.467316,15,354.93,1
T000030,U00841,P0002,2025-06-16 07:57:28.467319,0,302.01,1
T000031,U00956,P0015,2025-07-01 07:57:28.467322,5,153.99,1
T000032,U00699,P0037,2025-04-23 07:57:28.467324,25,224.44,1
T000033,U00876,P0015,2025-05-21 07:57:28.467326,15,137.78,1
T000034,U01686,P0060,2025-06-04 07:57:28.467329,20,169.98,1
T000035,U00776,P0096,2025-04-18 07:57:28.467331,20,68.39,0
T000036,U00762,P0085,2025-05-08 07:57:28.467334,30,161.83,1
T000037,U00945,P0064,2025-04-25 07:57:28.467336,30,182.69,1
T000038,U01834,P0081,2025-07-02 07:57:28.467338,0,271.03,1
T000039,U00923,P0098,2025-04-23 07:57:28.467340,10,158.35,1
T000040,U00935,P0096,2025-06-12 07:57:28.467343,25,64.12,1
T000041,U01747,P0052,2025-06-17 07:57:28.467345,0,281.75,1
T000042,U00025,P0023,2025-04-25 07:57:28.467349,10,156.08,1
T000043,U00806,P0099,2025-05-12 07:57:28.467353,0,71.98,1
T000044,U01877,P0037,2025-05-24 07:57:28.467357,30,209.48,1
T000045,U01688,P0041,2025-06-12 07:57:28.467361,20,83.06,1
T000046,U01560,P0057,2025-05-24 07:57:28.467365,15,232.48,0
T000047,U00764,P0097,2025-05-11 07:57:28.467369,5,300.5,1
T000048,U01084,P0025,2025-05-17 07:57:28.467373,30,177.32,1
T000049,U01491,P0037,2025-06-30 07:57:28.467376,15,254.36,0
T000050,U00434,P0040,2025-06-23 07:57:28.467378,20,26.74,1
T000051,U00879,P0085,2025-04-29 07:57:28.467380,5,219.63,1
T000052,U01090,P0046,2025-05-13 07:57:28.467383,10,446.37,1
T000053,U00910,P0060,2025-04-11 07:57:28.467385,10,191.22,1
T000054,U00565,P0098,2025-04-27 07:57:28.467389,20,140.75,1
T000055,U01952,P0019,2025-07-03 07:57:28.467391,5,121.25,1
T000056,U00106,P0091,2025-06-30 07:57:28.467394,15,49.54,0
T000057,U00096,P0009,2025-04-15 07:57:28.467396,20,334.98,1
T000058,U01712,P0069,2025-05-23 07:57:28.467398,10,174.54,1
T000059,U01575,P0005,2025-06-20 07:57:28.467401,20,256.11,1
T000060,U00168,P0089,2025-04-14 07:57:28.467403,15,115.16,1
T000061,U00042,P0026,2025-05-21 07:57:28.467405,0,145.73,1
T000062,U01903,P0019,2025-06-11 07:57:28.467407,25,95.72,0
T000063,U00104,P0030,2025-04-22 07:57:28.467410,25,105.22,1
T000064,U01869,P0100,2025-05-26 07:57:28.467412,30,149.17,1
T000065,U01228,P0048,2025-06-25 07:57:28.467415,25,121.73,1
T000066,U00520,P0016,2025-05-11 07:57:28.467417,0,331.49,1
T000067,U01999,P0071,2025-04-29 07:57:28.467419,15,239.6,0
T000068,U00282,P0018,2025-06-14 07:57:28.467422,30,116.16,1
T000069,U01932,P0056,2025-05-24 07:57:28.467424,5,395.14,1
T000070,U01067,P0021,2025-04-28 07:57:28.467426,20,50.42,0
T000071,U00947,P0031,2025-04-11 07:57:28.467429,15,191.11,1
T000072,U01134,P0001,2025-06-01 07:57:28.467431,0,271.62,1
T000073,U01234,P0003,2025-05-08 07:57:28.467433,30,17.76,0
T000074,U00749,P0095,2025-05-27 07:57:28.467446,10,360.7,0
T000075,U01892,P0025,2025-05-12 07:57:28.467448,25,189.98,1
T000076,U00831,P0008,2025-06-01 07:57:28.467451,25,30.64,1
T000077,U00049,P0065,2025-04-07 07:57:28.467453,15,176.92,1
T000078,U00115,P0062,2025-06-26 07:57:28.467457,25,53.83,1
T000079,U01179,P0007,2025-05-22 07:57:28.467459,25,194.25,1
