user_id,city,city_tier,signup_date,loyalty_score
U00001,Lucknow,Tier-2,2024-04-10 07:57:28.440078,81
U00002,Chennai,Tier-1,2023-11-29 07:57:28.440102,65
U00003,Jaipur,Tier-2,2025-04-17 07:57:28.440105,14
U00004,Mumbai,Tier-1,2023-10-28 07:57:28.440108,21
U00005,Delhi,Tier-1,2024-10-10 07:57:28.440111,50
U00006,Bangalore,Tier-1,2023-08-03 07:57:28.440114,12
U00007,Jaipur,Tier-2,2023-10-09 07:57:28.440116,42
U00008,Chennai,Tier-1,2024-06-08 07:57:28.440120,95
U00009,Chennai,Tier-1,2023-12-31 07:57:28.440123,59
U00010,Mumbai,Tier-1,2025-04-20 07:57:28.440126,65
U00011,Chennai,Tier-1,2025-03-09 07:57:28.440129,18
U00012,Chennai,Tier-1,2024-05-09 07:57:28.440131,91
U00013,Bangalore,Tier-1,2025-01-15 07:57:28.440133,59
U00014,Bangalore,Tier-1,2024-11-11 07:57:28.440136,38
U00015,Bangalore,Tier-1,2023-07-11 07:57:28.440138,48
U00016,Delhi,Tier-1,2023-09-17 07:57:28.440141,54
U00017,Chennai,Tier-1,2025-04-12 07:57:28.440143,26
U00018,Chennai,Tier-1,2023-07-10 07:57:28.440146,65
U00019,Chennai,Tier-1,2024-12-30 07:57:28.440148,55
U00020,Lucknow,Tier-2,2025-03-06 07:57:28.440150,76
U00021,Bangalore,Tier-1,2023-12-22 07:57:28.440153,78
U00022,Jaipur,Tier-2,2024-10-14 07:57:28.440155,23
U00023,Mumbai,Tier-1,2024-08-21 07:57:28.440158,76
U00024,Jaipur,Tier-2,2024-12-16 07:57:28.440160,32
U00025,Delhi,Tier-1,2024-09-26 07:57:28.440162,70
U00026,Delhi,Tier-1,2025-03-31 07:57:28.440165,32
U00027,Chennai,Tier-1,2023-08-30 07:57:28.440167,36
U00028,Jaipur,Tier-2,2023-10-28 07:57:28.440169,63
U00029,Chennai,Tier-1,2024-05-05 07:57:28.440171,19
U00030,Lucknow,Tier-2,2023-12-04 07:57:28.440174,98
U00031,Delhi,Tier-1,2023-07-11 07:57:28.440176,86
U00032,Delhi,Tier-1,2025-04-20 07:57:28.440178,25
